id;nhogar;miembro;comuna;dominio;edad;sexo;parentes_2;p5_2;p6_a;p6_b;estado;categori;t_calocu;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;t12;t13;t14;t15;t18;t19;t19_bis;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40a;t40b;t40;t41_cod_2;t47;t48;t49;t50a;t50b;t50c;t50d;t50e;t50f;t51_bis;i1;i4;i6_3;i10;i11;codioph;ioph_2;codioph_neto;ioph_neto_2;codios;ios_2;codioa;ioa_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codi3_8x;i3_8x_2;codi3_est;i3_est_2;codi3_otr;i3_otr_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;e4;e6;e8;e12;e13;e14;edad_30;nivel;aesc;m1;m1_2;m1_3;m2_anio;m3_anio;tipcob2_2;sn1_1;sn1_7;sn1_2;sn1_3;sn1_4;sn1_5;s8;sn14;sn16;s28;s29;dh1;dh2;dh3;t40bis_a;t40bis_a2;t40bis_b;t40bis_d;t40bis_f;t20_1;t21_1;t22_1;t48a_d;t48b_d;t50d_a;t50d_b;t50d_c;t50d_d;t50d_e;t50d_f;t51_d;t23_1_cod;t24_1_cod;fexp
1;1;1;8;3;18;2;1;6;3;95;1;2;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10.00;1;1;2;9609;8;2;1;1;0;1;58113;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;16000;1;16000;0;0;2;0;1;16000;2;0;2;0;2;0;9;7500;2;0;9;7500;9;23500;9;121500;40500;1;1;7;5;0;0;0;18;4;11;1;1;1;0;1;2;1;2;2;2;2;2;2;0;2;2;0;2;2;4;8;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
1;1;2;8;3;22;1;7;6;3;95;3;0;0;2;2;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;9;8000;2;0;9;8000;9;8000;9;121500;40500;1;1;13;1;0;0;0;22;6;12;1;1;1;0;1;2;1;2;2;2;2;2;2;0;3;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
1;1;3;8;3;45;1;6;3;0;0;1;3;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;40.00;1;1;1;1400;1;2;2;3;0;3;80313;0;0;2;1;1;2;2;1;2;1;1;0;2;0;0;1;90000;1;90000;0;0;2;0;1;90000;2;0;2;0;2;0;2;0;2;0;2;0;1;90000;9;121500;40500;2;0;0;0;7;2;2;45;4;9;5;5;4;1998;1998;2;1;2;2;2;2;2;2;0;3;0;0;1;1;4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
2;1;1;5;4;18;2;1;6;95;95;3;0;0;2;2;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;40000;2;0;2;0;1;40000;1;40000;1;40000;40000;1;3;13;1;0;0;0;18;6;12;2;2;2;0;2022;2;1;2;2;2;2;2;2;0;1;2;0;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;357
3;1;1;2;4;18;1;1;6;95;95;3;0;0;2;2;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20000;2;0;2;0;1;20000;1;20000;1;130000;43333;1;2;13;1;0;0;0;18;6;12;2;2;2;0;2022;4;2;2;2;1;2;2;2;0;1;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106
3;1;2;2;4;24;2;7;6;95;95;3;0;0;2;2;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20000;2;0;2;0;1;20000;1;20000;1;130000;43333;1;1;13;4;0;0;0;24;6;15;2;2;2;0;2016;4;2;2;2;1;2;2;2;0;1;2;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106
3;1;3;2;4;26;2;7;6;0;0;1;3;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;40.00;2;0;2;8401;6;1;2;4;0;4;32332;0;0;2;2;2;2;2;2;2;2;1;0;2;0;0;1;90000;1;90000;0;0;2;0;1;90000;2;0;2;0;2;0;2;0;2;0;2;0;1;90000;1;130000;43333;1;3;13;4;0;0;0;25;6;15;2;2;2;0;2014;4;2;2;2;1;2;2;2;0;1;2;0;2;2;4;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106
4;1;1;5;4;18;2;1;6;95;95;3;0;0;2;2;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;0;1;3;13;1;0;0;0;18;6;12;1;1;1;0;2022;4;2;2;2;1;2;2;2;0;3;2;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251
5;1;1;2;4;18;2;1;6;95;95;3;0;0;2;2;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;50000;2;0;2;0;1;50000;1;50000;1;50000;50000;1;1;13;11;0;0;0;18;6;12;3;3;3;0;2022;4;2;2;2;1;2;2;2;0;1;2;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;359
6;1;1;9;4;19;1;1;6;95;95;3;0;0;2;2;4;0;0;0;0;0;2;2;4;0;1;2;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;50000;2;0;2;0;1;50000;1;50000;1;50000;50000;1;1;7;5;0;0;0;19;4;11;3;3;3;0;2018;1;2;2;2;2;2;2;2;0;2;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213
